event_id,event_name,category,description,tags,location,duration_hours
1,Music Event 1,music,"A great music event featuring experts, fun, and learning.","music, fun, networking, learning",Mumbai,3
2,Startup Event 2,startup,"A great startup event featuring experts, fun, and learning.","startup, fun, networking, learning",Pune,5
3,Hackathon Event 3,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Pune,2
4,Hackathon Event 4,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Pune,6
5,Art Event 5,art,"A great art event featuring experts, fun, and learning.","art, fun, networking, learning",Pune,3
6,Workshop Event 6,workshop,"A great workshop event featuring experts, fun, and learning.","workshop, fun, networking, learning",Pune,4
7,Dance Event 7,dance,"A great dance event featuring experts, fun, and learning.","dance, fun, networking, learning",Bangalore,4
8,Art Event 8,art,"A great art event featuring experts, fun, and learning.","art, fun, networking, learning",Pune,6
9,Workshop Event 9,workshop,"A great workshop event featuring experts, fun, and learning.","workshop, fun, networking, learning",Hyderabad,5
10,Dance Event 10,dance,"A great dance event featuring experts, fun, and learning.","dance, fun, networking, learning",Hyderabad,3
11,Hackathon Event 11,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Delhi,8
12,Hackathon Event 12,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Bangalore,4
13,Music Event 13,music,"A great music event featuring experts, fun, and learning.","music, fun, networking, learning",Pune,2
14,Sports Event 14,sports,"A great sports event featuring experts, fun, and learning.","sports, fun, networking, learning",Hyderabad,5
15,Music Event 15,music,"A great music event featuring experts, fun, and learning.","music, fun, networking, learning",Mumbai,8
16,Startup Event 16,startup,"A great startup event featuring experts, fun, and learning.","startup, fun, networking, learning",Bangalore,2
17,Art Event 17,art,"A great art event featuring experts, fun, and learning.","art, fun, networking, learning",Mumbai,7
18,Tech_Talk Event 18,tech_talk,"A great tech_talk event featuring experts, fun, and learning.","tech_talk, fun, networking, learning",Hyderabad,8
19,Workshop Event 19,workshop,"A great workshop event featuring experts, fun, and learning.","workshop, fun, networking, learning",Mumbai,7
20,Dance Event 20,dance,"A great dance event featuring experts, fun, and learning.","dance, fun, networking, learning",Hyderabad,8
21,Hackathon Event 21,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Delhi,5
22,Workshop Event 22,workshop,"A great workshop event featuring experts, fun, and learning.","workshop, fun, networking, learning",Hyderabad,6
23,Art Event 23,art,"A great art event featuring experts, fun, and learning.","art, fun, networking, learning",Pune,5
24,Sports Event 24,sports,"A great sports event featuring experts, fun, and learning.","sports, fun, networking, learning",Bangalore,8
25,Hackathon Event 25,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Pune,4
26,Dance Event 26,dance,"A great dance event featuring experts, fun, and learning.","dance, fun, networking, learning",Delhi,2
27,Hackathon Event 27,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Bangalore,4
28,Startup Event 28,startup,"A great startup event featuring experts, fun, and learning.","startup, fun, networking, learning",Hyderabad,8
29,Startup Event 29,startup,"A great startup event featuring experts, fun, and learning.","startup, fun, networking, learning",Pune,8
30,Hackathon Event 30,hackathon,"A great hackathon event featuring experts, fun, and learning.","hackathon, fun, networking, learning",Delhi,2
